,MSE0,MSE1,MSE2,MSE3,MSE4,MSE5,MSE6,MSE7,MSE8,MSE9,MSE10,MSE11,MSE12,MSE13,MSE14,MSE15,MSE16,MSE17,MSE18,MSE19,MSE20,MSE21,MSE22,MSE23,MSE24,MSE25,MSE26,MSE27,MSE28,MSE29,MSE30,MSE31,MSE32,MSE33,MSE34,MSE35,MSE36,MSE37,MSE38,MSE39,MSE40,MSE41,MSE42,MSE43,MSE44,MSE45,MSE46,MSE47,MSE48,MSE49
0,1.568438e-05,1.8933344e-05,9.673532e-06,1.2862589e-06,1.2884746e-06,2.1009193e-06,2.6200834e-05,5.7998227e-06,5.983926e-07,6.1334276e-06,1.4377891e-05,2.1392043e-05,2.1555488e-05,9.298867e-06,9.0007696e-08,1.6822809e-06,1.5914342e-05,2.2200081e-06,5.5304913e-06,5.9640656e-06,6.8269164e-06,8.287569e-06,4.4688613e-06,2.3143728e-05,4.571265e-07,3.8835988e-06,1.2724081e-06,4.649456e-06,1.2427566e-05,2.332926e-05,3.8514077e-06,7.651596e-07,2.4386036e-06,7.4475645e-07,1.4890229e-09,1.0928491e-05,2.5868989e-05,7.857053e-06,3.572433e-05,1.2833151e-05,1.8713916e-05,2.493618e-07,8.555197e-08,1.9234967e-06,2.1987102e-05,1.695509e-07,4.1285625e-06,1.3820009e-05,2.3290575e-07,1.1815404e-05
1,1.303114e-05,1.5631298e-05,9.024657e-06,5.993479e-08,1.8081261e-06,3.502203e-06,2.2029273e-05,6.746564e-06,3.2721182e-08,5.767037e-06,1.3038492e-05,1.7968256e-05,1.788852e-05,1.0265381e-05,1.1588871e-09,2.1855687e-06,1.400471e-05,2.7680662e-06,5.5212786e-06,5.613985e-06,7.5006105e-06,7.2840394e-06,4.6707933e-06,1.9649924e-05,1.0267871e-06,4.500941e-06,2.9673552e-07,4.6795117e-06,1.1231702e-05,1.9283169e-05,3.7259374e-06,2.745227e-08,2.868051e-06,1.5786796e-07,1.7732675e-07,9.304336e-06,2.2963195e-05,7.1292957e-06,3.0156416e-05,1.1264091e-05,1.5717718e-05,6.121016e-07,8.474457e-09,2.5556733e-06,2.1964723e-05,3.1984244e-09,3.6089637e-06,1.154759e-05,2.209221e-08,1.107498e-05
2,1.0346605e-05,1.2334905e-05,8.097791e-06,3.142261e-07,2.236614e-06,5.1178868e-06,1.7781222e-05,7.416923e-06,1.3332888e-07,5.198099e-06,1.1405887e-05,1.4463059e-05,1.4209795e-05,1.0896068e-05,1.0203067e-07,2.5946838e-06,1.185294e-05,3.191385e-06,5.269926e-06,5.0579365e-06,7.840031e-06,6.1530322e-06,4.661693e-06,1.602682e-05,1.678608e-06,4.9174178e-06,8.3397075e-13,4.503411e-06,9.773451e-06,1.523847e-05,3.4665713e-06,2.4260828e-07,3.155112e-06,1.6163758e-09,5.619472e-07,7.5969965e-06,1.9658439e-05,6.222958e-06,2.4453851e-05,9.491682e-06,1.26650875e-05,1.0417225e-06,1.8970506e-07,3.0668236e-06,2.1495556e-05,2.3017267e-07,3.0013305e-06,9.226368e-06,2.8920027e-08,1.0016271e-05
3,7.708875e-06,9.136335e-06,6.9113776e-06,1.6156141e-06,2.5002557e-06,6.839593e-06,1.3572658e-05,7.7162895e-06,7.30605e-07,4.4413327e-06,9.519472e-06,1.0977247e-05,1.0623996e-05,1.1119165e-05,3.0059152e-07,2.8483005e-06,9.520406e-06,3.4270877e-06,4.7694657e-06,4.3055416e-06,7.7776185e-06,4.9284163e-06,4.4137155e-06,1.2377305e-05,2.2952042e-06,5.0689223e-06,2.5001737e-07,4.1080534e-06,8.089449e-06,1.1312171e-05,3.0685767e-06,1.1826537e-06,3.2530259e-06,1.9453833e-07,1.0369394e-06,5.8578e-06,1.6041879e-05,5.158305e-06,1.877228e-05,7.5734706e-06,9.640116e-06,1.4562929e-06,5.341162e-07,3.3780225e-06,2.0545334e-05,7.21563e-07,2.3320426e-06,6.9269386e-06,2.1686958e-07,8.657802e-06
4,5.229062e-06,6.1584587e-06,5.515494e-06,3.5163046e-06,2.5427078e-06,8.542626e-06,9.556266e-06,7.577299e-06,1.6324246e-06,3.5313203e-06,7.4514282e-06,7.646488e-06,7.2681314e-06,1.0884075e-05,5.076757e-07,2.8984423e-06,7.1068907e-06,3.427492e-06,4.036712e-06,3.3951999e-06,7.2777734e-06,3.6613826e-06,3.9220945e-06,8.840086e-06,2.7680471e-06,4.9120877e-06,8.90124e-07,3.5037924e-06,6.2497193e-06,7.656853e-06,2.5442696e-06,2.5786067e-06,3.1294687e-06,6.333803e-07,1.4925415e-06,4.15806e-06,1.2253448e-05,3.980917e-06,1.3320833e-05,5.5956607e-06,6.755906e-06,1.7776055e-06,9.413141e-07,3.4305685e-06,1.9098929e-05,1.339338e-06,1.6424078e-06,4.744734e-06,5.326154e-07,7.0480505e-06
5,3.0446065e-06,3.5576597e-06,3.9973866e-06,5.579263e-06,2.340014e-06,1.00975085e-05,5.929483e-06,6.970589e-06,2.6366956e-06,2.5328668e-06,5.315456e-06,4.646905e-06,4.3119376e-06,1.0173103e-05,6.46903e-07,2.7204674e-06,4.7514472e-06,3.169485e-06,3.1193504e-06,2.392872e-06,6.3467537e-06,2.426451e-06,3.2107416e-06,5.592069e-06,3.0075237e-06,4.4317385e-06,1.7482727e-06,2.7281126e-06,4.362011e-06,4.461027e-06,1.9241193e-06,4.136641e-06,2.7772212e-06,1.1989378e-06,1.8348159e-06,2.5922743e-06,8.4904395e-06,2.7624924e-06,8.364839e-06,3.678772e-06,4.1566946e-06,1.9407062e-06,1.3143448e-06,3.1976035e-06,1.7171142e-05,1.9462504e-06,9.883156e-07,2.801282e-06,9.1003744e-07,5.275268e-06
6,1.320731e-06,1.5232714e-06,2.4870953e-06,7.406033e-06,1.9073548e-06,1.1374871e-05,2.932592e-06,5.9228605e-06,3.5460719e-06,1.5407934e-06,3.2714527e-06,2.1966198e-06,1.9593815e-06,9.009873e-06,6.663412e-07,2.3178711e-06,2.637232e-06,2.664977e-06,2.1055384e-06,1.4020965e-06,5.0487793e-06,1.3226861e-06,2.34007e-06,2.858379e-06,2.9567946e-06,3.6553865e-06,2.6480936e-06,1.8543328e-06,2.579986e-06,1.9513298e-06,1.2627992e-06,5.5612522e-06,2.2218694e-06,1.7651987e-06,1.9943932e-06,1.2797431e-06,5.0239933e-06,1.6086904e-06,4.2327406e-06,1.980024e-06,2.0208065e-06,1.9044252e-06,1.5697756e-06,2.6905536e-06,1.4817584e-05,2.418775e-06,4.4076344e-07,1.2465869e-06,1.2752879e-06,3.4741965e-06
7,2.499658e-07,2.7573367e-07,1.1635896e-06,8.665483e-06,1.3097939e-06,1.2258978e-05,8.5156677e-07,4.5274146e-06,4.1884523e-06,6.83646e-07,1.5288246e-06,5.524417e-07,4.4299617e-07,7.4658537e-06,5.5082137e-07,1.7351935e-06,9.927868e-07,1.9691238e-06,1.1252619e-06,5.646703e-07,3.5171238e-06,4.756821e-07,1.4168797e-06,9.016116e-07,2.6048262e-06,2.662574e-06,3.4247446e-06,9.974154e-07,1.1028002e-06,3.8643398e-07,6.431826e-07,6.583738e-06,1.5298003e-06,2.2122938e-06,1.9347485e-06,3.628835e-07,2.1904477e-06,6.5847405e-07,1.3088135e-06,6.9230776e-07,5.5744846e-07,1.6602602e-06,1.6474129e-06,1.9737822e-06,1.2135564e-05,2.6592552e-06,8.508618e-08,2.5651278e-07,1.5566166e-06,1.8305232e-06
8,4.0559623e-08,5.769647e-08,2.5286636e-07,9.128454e-06,6.6847736e-07,1.2657337e-05,4.440591e-09,2.9552161e-06,4.4358353e-06,1.2100223e-07,3.4567302e-07,3.6049599e-09,1.5397953e-08,5.6666445e-06,3.327557e-07,1.0627516e-06,8.837071e-08,1.1875553e-06,3.5295866e-07,6.181969e-08,1.96204e-06,3.1165506e-08,5.9381534e-07,2.0186697e-08,1.997162e-06,1.5899088e-06,3.9404654e-06,3.145508e-07,1.759256e-07,4.4995836e-08,1.7727007e-07,6.9949147e-06,8.1420086e-07,2.4433054e-06,1.6604297e-06,5.8682714e-10,3.956378e-07,8.4516444e-08,2.3426672e-08,3.7564877e-08,2.2067283e-10,1.2432237e-06,1.5223741e-06,1.1647984e-06,9.2707805e-06,2.6128203e-06,1.4520303e-08,2.4077831e-08,1.6941405e-06,5.8134407e-07
9,9.041646e-07,1.1195983e-06,2.2227573e-08,8.695512e-06,1.6015633e-07,1.2515631e-05,7.271582e-07,1.4566469e-06,4.225655e-06,3.7369556e-08,1.8351098e-08,8.5522674e-07,9.308478e-07,3.7888217e-06,1.00693164e-07,4.3852447e-07,2.2183231e-07,4.77261e-07,2.6914884e-09,1.0419211e-07,6.749116e-07,1.4954826e-07,7.317193e-08,5.306388e-07,1.2441213e-06,6.378046e-07,4.1021963e-06,2.370377e-09,8.101536e-08,1.2090653e-06,3.523082e-10,6.6830817e-06,2.3634774e-07,2.3975708e-06,1.2207034e-06,3.5950916e-07,9.622998e-08,8.5691426e-08,8.313044e-07,2.5453622e-07,5.935654e-07,7.363348e-07,1.2126006e-06,4.4028823e-07,6.4180526e-06,2.2757315e-06,3.2295856e-07,7.477471e-07,1.6516104e-06,8.652466e-09
10,3.03325e-06,3.69521e-06,7.62792e-07,7.4185996e-06,1.0966231e-08,1.1826311e-05,3.3462254e-06,3.5251477e-07,3.5764845e-06,6.2690293e-07,8.645161e-07,3.4030718e-06,3.4199502e-06,2.0563707e-06,1.371572e-09,4.5445006e-08,1.6979695e-06,4.351122e-08,3.1582604e-07,9.182371e-07,1.937648e-08,9.902051e-07,9.455604e-08,2.7428011e-06,5.204168e-07,6.055737e-08,3.874062e-06,2.8572535e-07,1.1183994e-06,4.1336216e-06,2.63728e-07,5.663613e-06,9.8614034e-11,2.0690086e-06,7.08444e-07,1.596558e-06,1.7743187e-06,8.7385087e-07,4.17608e-06,1.5785153e-06,2.5710726e-06,2.6958364e-07,7.8413683e-07,2.5692712e-08,3.811531e-06,1.7065339e-06,1.0917273e-06,2.610556e-06,1.426568e-06,4.2453684e-07
11,6.5708223e-06,7.96826e-06,2.7625338e-06,5.5097717e-06,4.765244e-07,1.0638759e-05,8.139543e-06,1.2952068e-08,2.5997224e-06,2.0723564e-06,3.1930474e-06,7.896796e-06,7.655085e-06,7.234205e-07,2.334948e-07,9.7072245e-08,4.795308e-06,1.2386917e-07,1.5386064e-06,2.721495e-06,4.111652e-07,2.6919722e-06,9.176593e-07,6.9236644e-06,5.5547268e-08,1.5338499e-07,3.2872672e-06,1.3969274e-06,3.5777575e-06,9.011618e-06,1.1166524e-06,4.099325e-06,3.3801786e-07,1.5153119e-06,2.538908e-07,3.836288e-06,5.8902638e-06,2.6493858e-06,1.0437954e-05,4.2109077e-06,6.125182e-06,1.0664728e-08,3.4732932e-07,1.798131e-07,1.7100843e-06,1.0243773e-06,2.3725124e-06,5.7524235e-06,1.0571773e-06,2.144687e-06
12,1.15748035e-05,1.4033242e-05,6.2676163e-06,3.3314814e-06,1.8112272e-06,9.053832e-06,1.528516e-05,8.178204e-07,1.4940625e-06,4.513029e-06,7.262798e-06,1.4492149e-05,1.3707223e-05,4.263314e-08,1.029795e-06,8.1531755e-07,9.72139e-06,9.63418e-07,3.889484e-06,5.685474e-06,2.2811037e-06,5.343776e-06,2.792552e-06,1.3249422e-05,1.11044415e-07,1.2222474e-06,2.4422122e-06,3.5445655e-06,7.696839e-06,1.592034e-05,2.682676e-06,2.3121313e-06,1.4864179e-06,8.6043156e-07,9.895745e-09,7.1396876e-06,1.2825125e-05,5.571619e-06,1.9869853e-05,8.282064e-06,1.1369703e-05,1.4493851e-07,4.815354e-08,1.1651799e-06,3.7163144e-07,3.9954193e-07,4.1684334e-06,1.0234852e-05,6.222068e-07,5.449176e-06
13,1.7976065e-05,2.1842408e-05,1.1433012e-05,1.3649835e-06,4.2245547e-06,7.2226253e-06,2.4806066e-05,3.1014642e-06,5.3115076e-07,8.010475e-06,1.3228534e-05,2.3194829e-05,2.1499602e-05,2.3309444e-07,2.6268092e-06,2.39613e-06,1.6559956e-05,2.7770648e-06,7.5161993e-06,9.894809e-06,6.0198195e-06,8.956135e-06,5.9162e-06,2.175063e-05,9.445793e-07,3.5407668e-06,1.4973771e-06,6.8710942e-06,1.3609226e-05,2.477636e-05,5.0288645e-06,7.6389904e-07,3.649922e-06,2.8513648e-07,1.2933924e-07,1.1475564e-05,2.2800401e-05,9.719798e-06,3.2518245e-05,1.3806368e-05,1.8293918e-05,8.444622e-07,4.565769e-08,3.2069718e-06,1.6311493e-08,3.123929e-08,6.4122487e-06,1.6002992e-05,2.3287912e-07,1.0531692e-05
14,2.5538717e-05,3.116301e-05,1.8262566e-05,1.5469686e-07,7.825747e-06,5.3246754e-06,3.6501184e-05,7.0820315e-06,2.0988402e-08,1.25072675e-05,2.1081833e-05,3.3803353e-05,3.075731e-05,1.4339531e-06,5.2210926e-06,4.965608e-06,2.5209172e-05,5.7045972e-06,1.2446547e-05,1.5295205e-05,1.1910963e-05,1.342624e-05,1.03845905e-05,3.225302e-05,2.7613405e-06,7.296867e-06,6.5067997e-07,1.1406864e-05,2.1283877e-05,3.5274566e-05,8.130214e-06,9.481417e-09,6.95477e-06,3.7196082e-09,7.35711e-07,1.6685519e-05,3.5789366e-05,1.5043429e-05,4.8137215e-05,2.0635667e-05,2.6718499e-05,2.2278073e-06,4.8281197e-07,6.443823e-06,7.8411784e-07,1.1490807e-07,8.953449e-06,2.2845257e-05,1.447654e-08,1.7441605e-05
15,3.3829547e-05,4.152781e-05,2.6551177e-05,2.2737812e-07,1.256774e-05,3.5479345e-06,4.989087e-05,1.27857265e-05,2.6123803e-07,1.7790722e-05,3.0590818e-05,4.5850516e-05,4.0978233e-05,3.6590911e-06,8.9190935e-06,8.53147e-06,3.5330137e-05,9.757075e-06,1.853885e-05,2.1649024e-05,2.0045321e-05,1.8510198e-05,1.6135991e-05,4.432311e-05,5.657657e-06,1.2528586e-05,1.0669063e-07,1.7014872e-05,3.0470195e-05,4.685668e-05,1.1840163e-05,6.23038e-07,1.1399153e-05,2.2560786e-07,1.8914575e-06,2.2459184e-05,5.142966e-05,2.1331045e-05,6.6113076e-05,2.8424976e-05,3.6256628e-05,4.316151e-06,1.450266e-06,1.0872636e-05,2.6892928e-06,7.996487e-07,1.1550045e-05,3.0367137e-05,7.9480834e-08,2.6022613e-05
16,4.2208314e-05,5.2222906e-05,3.5841087e-05,1.99585e-06,1.8197114e-05,2.0578073e-06,6.417947e-05,1.9975456e-05,1.4754504e-06,2.3475946e-05,4.125048e-05,5.8573794e-05,5.1415755e-05,6.7588053e-06,1.3682443e-05,1.2941804e-05,4.630479e-05,1.4771743e-05,2.544222e-05,2.8508386e-05,3.0244611e-05,2.3817907e-05,2.2902816e-05,5.7231016e-05,9.564336e-06,1.9068684e-05,3.8736694e-08,2.3357798e-05,4.065017e-05,5.8683985e-05,1.5870168e-05,3.0925942e-06,1.6807942e-05,1.106374e-06,3.5675107e-06,2.8333141e-05,6.8948895e-05,2.8169807e-05,8.540916e-05,3.661111e-05,4.6289533e-05,6.993379e-06,2.9491423e-06,1.6299055e-05,5.580363e-06,2.1436722e-06,1.3877274e-05,3.797746e-05,4.9477416e-07,3.585824e-05
17,4.985589e-05,6.229271e-05,4.5404002e-05,5.656576e-06,2.4223542e-05,9.64689e-07,7.8252764e-05,2.8106315e-05,3.7490402e-06,2.9001578e-05,5.2268813e-05,7.091851e-05,6.110328e-05,1.0399187e-05,1.9285917e-05,1.7852724e-05,5.7230875e-05,2.0381185e-05,3.2577624e-05,3.520559e-05,4.199094e-05,2.8816423e-05,3.0183692e-05,6.99539e-05,1.4207404e-05,2.6497599e-05,5.4825773e-07,2.9875131e-05,5.102152e-05,6.966294e-05,1.9786778e-05,7.701134e-06,2.2798764e-05,2.695491e-06,5.625343e-06,3.369946e-05,8.712797e-05,3.4948003e-05,0.00010455432,4.4429187e-05,5.5981935e-05,9.984434e-06,4.8643633e-06,2.2310383e-05,9.120792e-06,4.0763957e-06,1.5568114e-05,4.491346e-05,1.2520795e-06,4.62517e-05
18,5.5829798e-05,7.060602e-05,5.4255455e-05,1.1103467e-05,2.9930134e-05,3.0435095e-07,9.0726855e-05,3.631896e-05,6.971791e-06,3.367773e-05,6.258546e-05,8.1580656e-05,6.8931295e-05,1.4075971e-05,2.529255e-05,2.2731754e-05,6.696372e-05,2.6013142e-05,3.9162514e-05,4.090023e-05,5.4402524e-05,3.2877757e-05,3.724283e-05,8.1220685e-05,1.9092344e-05,3.4136825e-05,1.6328125e-06,3.5808847e-05,6.0531827e-05,7.853517e-05,2.3053013e-05,1.4409334e-05,2.8783455e-05,4.892075e-06,7.814127e-06,3.7873124e-05,0.00010431988,4.088532e-05,0.00012171012,5.0971666e-05,6.432331e-05,1.2863844e-05,6.9538714e-06,2.8275626e-05,1.2795299e-05,6.3806765e-06,1.6264152e-05,5.0301365e-05,2.2487743e-06,5.6233243e-05
19,5.919377e-05,7.59722e-05,6.125602e-05,1.7871067e-05,3.4446486e-05,2.8892366e-08,0.00010007575,4.350971e-05,1.0816609e-05,3.676755e-05,7.0959555e-05,8.9151465e-05,7.377776e-05,1.7169015e-05,3.107557e-05,2.6899299e-05,7.42257e-05,3.093373e-05,4.4283326e-05,4.467025e-05,6.625022e-05,3.5367266e-05,4.3177337e-05,8.963097e-05,2.3540102e-05,4.1081974e-05,3.1699901e-06,4.0274488e-05,6.796274e-05,8.401048e-05,2.5094216e-05,2.276331e-05,3.399899e-05,7.42478e-06,9.801565e-06,4.0178085e-05,0.00011857473,4.511914e-05,0.00013481773,5.52875e-05,7.024256e-05,1.5104002e-05,8.870641e-06,3.3402157e-05,1.5961821e-05,8.704509e-06,1.5709807e-05,5.327179e-05,3.2936389e-06,6.463596e-05
20,5.917709e-05,7.732504e-05,6.524321e-05,2.514956e-05,3.687031e-05,1.8730582e-08,0.000104815634,4.8467387e-05,1.474614e-05,3.7610505e-05,7.612099e-05,9.2293274e-05,7.469149e-05,1.9040584e-05,3.5882716e-05,2.9624904e-05,7.777914e-05,3.4344237e-05,4.7021415e-05,4.5673696e-05,7.6072174e-05,3.5755365e-05,4.70182e-05,9.38386e-05,2.677332e-05,4.6308924e-05,4.9266846e-06,4.2394808e-05,7.209465e-05,8.498141e-05,2.541209e-05,3.1874853e-05,3.761247e-05,9.872159e-06,1.1221233e-05,4.0075247e-05,0.0001278353,4.6832778e-05,0.00014185465,5.6549805e-05,7.27467e-05,1.6176802e-05,1.0217543e-05,3.6832047e-05,1.7953495e-05,1.0612168e-05,1.3831752e-05,5.3112795e-05,4.1368116e-06,7.0225266e-05
21,5.5365643e-05,7.394713e-05,6.52514e-05,3.1854874e-05,3.6464586e-05,1.1858013e-07,0.00010377747,5.0102135e-05,1.809007e-05,3.5788475e-05,7.699251e-05,9.000775e-05,7.1108e-05,1.9178126e-05,3.8945956e-05,3.0261639e-05,7.666343e-05,3.5526336e-05,4.663846e-05,4.3342236e-05,8.234327e-05,3.3748136e-05,4.7899477e-05,9.2791546e-05,2.806596e-05,4.8833706e-05,6.5988866e-06,4.148558e-05,7.193803e-05,8.0762926e-05,2.3723915e-05,4.047664e-05,3.8860406e-05,1.172551e-05,1.1754613e-05,3.7309223e-05,0.00013029017,4.5431065e-05,0.00014117785,5.4243494e-05,7.1129994e-05,1.5689231e-05,1.0638494e-05,3.7809623e-05,1.8215553e-05,1.1679327e-05,1.0827222e-05,4.945195e-05,4.535876e-06,7.1912444e-05
22,4.7886435e-05,6.5717875e-05,6.076502e-05,3.6808222e-05,3.2888544e-05,1.8770342e-07,9.639947e-05,4.770893e-05,2.0160394e-05,3.1277086e-05,7.29332e-05,8.192011e-05,6.306008e-05,1.735487e-05,3.9642917e-05,2.8429595e-05,7.045991e-05,3.4013632e-05,4.2783788e-05,3.7609272e-05,8.375561e-05,2.9419132e-05,4.528685e-05,8.6009946e-05,2.692388e-05,4.7931506e-05,7.871568e-06,3.7267728e-05,6.6971894e-05,7.1359595e-05,2.0089e-05,4.7098492e-05,3.722944e-05,1.2508572e-05,1.1218039e-05,3.203186e-05,0.00012473478,4.073339e-05,0.00013192874,4.8333863e-05,6.515989e-05,1.3538165e-05,9.924948e-06,3.5869016e-05,1.6482452e-05,1.1600502e-05,7.1887107e-06,4.2437994e-05,4.336607e-06,6.898401e-05
23,3.752132e-05,5.33029e-05,5.1950497e-05,3.896163e-05,2.6412545e-05,1.5395416e-07,8.299855e-05,4.1247324e-05,2.0423455e-05,2.4565994e-05,6.399597e-05,6.853918e-05,5.131854e-05,1.375958e-05,3.765324e-05,2.4169374e-05,5.952539e-05,2.9775016e-05,3.5687633e-05,2.9072862e-05,7.9514684e-05,2.3275123e-05,3.9173705e-05,7.3824674e-05,2.3283103e-05,4.3356362e-05,8.4932435e-06,3.006976e-05,5.7402154e-05,5.7635978e-05,1.499169e-05,5.034095e-05,3.2645785e-05,1.1914679e-05,9.637183e-06,2.486892e-05,0.00011098375,3.313057e-05,0.000114415765,3.9401508e-05,5.525122e-05,1.0030147e-05,8.118189e-06,3.1015046e-05,1.2922111e-05,1.0302335e-05,3.6513209e-06,3.2834047e-05,3.5448759e-06,6.1356535e-05
